ID,Pregunta,Modelo,Score,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Correctness,Answer Similarity,Latencia (s),Tiene <think>
1,¿Qué se hace en la actividad de desayunos?,qwen3:32b,0.7674,1.0000,0.8615,0.2250,1.0000,0.8286,0.9143,31.79,Sí
1,¿Qué se hace en la actividad de desayunos?,deepseek-r1:latest,0.5900,0.8182,0.0000,0.2250,1.0000,0.5651,0.8319,11.93,Sí
1,¿Qué se hace en la actividad de desayunos?,gemma2:27b,0.9941,1.0000,0.9341,0.4250,1.0000,0.9374,0.9803,15.00,No
1,¿Qué se hace en la actividad de desayunos?,llama3.3:70b,0.9033,0.8571,0.9537,0.2250,1.0000,0.8152,0.9532,24.84,No
2,¿Dónde es el punto de encuentro de desayunos?,qwen3:32b,0.5745,0.5455,0.0000,0.5000,1.0000,0.4399,0.8366,25.76,Sí
2,¿Dónde es el punto de encuentro de desayunos?,deepseek-r1:latest,0.6058,0.5556,0.0000,0.5000,1.0000,0.2982,0.7928,11.05,Sí
2,¿Dónde es el punto de encuentro de desayunos?,gemma2:27b,0.8811,1.0000,0.8311,0.5000,1.0000,0.4843,0.9371,13.06,No
2,¿Dónde es el punto de encuentro de desayunos?,llama3.3:70b,0.8797,1.0000,0.8311,0.5000,1.0000,0.4474,0.9323,18.59,No
3,¿A qué hora son los desayunos y las cenas solidarias?,qwen3:32b,0.6574,0.6000,0.8875,1.0000,1.0000,0.9698,0.8790,26.77,Sí
3,¿A qué hora son los desayunos y las cenas solidarias?,deepseek-r1:latest,0.6418,0.3333,0.8981,1.0000,1.0000,0.5206,0.8826,11.09,Sí
3,¿A qué hora son los desayunos y las cenas solidarias?,gemma2:27b,0.9021,1.0000,0.8603,1.0000,1.0000,0.8428,0.9713,12.24,No
3,¿A qué hora son los desayunos y las cenas solidarias?,llama3.3:70b,0.9149,1.0000,0.9428,1.0000,1.0000,0.5437,0.9747,18.94,No
4,¿Cada cuánto se hace la actividad de desayunos?,qwen3:32b,0.8091,1.0000,0.0000,0.5000,1.0000,0.9718,0.8872,21.87,Sí
4,¿Cada cuánto se hace la actividad de desayunos?,deepseek-r1:latest,0.8098,0.9412,0.0000,0.5000,1.0000,0.4612,0.8447,16.81,Sí
4,¿Cada cuánto se hace la actividad de desayunos?,gemma2:27b,0.8411,1.0000,0.9084,0.5000,1.0000,0.6049,0.9194,14.50,No
4,¿Cada cuánto se hace la actividad de desayunos?,llama3.3:70b,0.9150,1.0000,0.0000,0.4167,1.0000,0.9897,0.9590,27.50,No
5,¿Cuánto dura la actividad de desayunos?,qwen3:32b,0.6634,1.0000,0.0000,1.0000,1.0000,0.3793,0.8507,26.60,Sí
