ID,Pregunta,Respuesta Esperada,qwen3_score,qwen3_calidad,deepseek_score,deepseek_calidad,gemma2_score,gemma2_calidad,llama3_score,llama3_calidad,Score Promedio,Ganador,Contexts Recuperados
1,¿Qué se hace en la actividad de desayunos?,"La actividad consiste en que un grupo de voluntarios se reúne en un punto de encuentro y se divide en equipos. Cada equipo recorre una zona de Valencia repartiendo desayunos o cenas a personas sin hogar. Lo más importante no es solo la comida, sino el tiempo que se comparte con ellos, ofreciéndoles conversación y compañía.",0.767,INCOMPLETA,0.590,INCOMPLETA,0.994,CORRECTA,0.903,CORRECTA,0.814,gemma2:27b,8
2,¿Dónde es el punto de encuentro de desayunos?,"El punto de encuentro siempre es la Porta de la Mar de Valencia. Desde ahí se reparten los alimentos por las zonas de Mestalla, el centro, El Carmen o el río entre otros.",0.574,INCOMPLETA,0.606,INCOMPLETA,0.881,CORRECTA,0.880,CORRECTA,0.735,gemma2:27b,7
3,¿A qué hora son los desayunos y las cenas solidarias?,Los desayunos son a las 8 de la mañana y las cenas a las ocho y media de la tarde.,0.657,INCOMPLETA,0.642,INCOMPLETA,0.902,CORRECTA,0.915,CORRECTA,0.779,llama3.3:70b,5
4,¿Cada cuánto se hace la actividad de desayunos?,"Normalmente, la actividad se realiza una vez a la semana, pero lo mejor es que consultes el calendario de la comunidad de WhatsApp o preguntes a un miembro del staff.",0.809,CORRECTA,0.810,CORRECTA,0.841,CORRECTA,0.915,CORRECTA,0.844,llama3.3:70b,8
5,¿Cuánto dura la actividad de desayunos?,"Depende del día, de la cantidad de personas que encontramos en la calle y de la zona por la que se reparta. Normalmente solemos estimar que la actividad dura una hora y media más el posterior desayuno voluntario de los propios participantes que ese se puede alargar lo que ellos quieran.",0.663,INCOMPLETA,0.654,INCOMPLETA,0.450,INCORRECTA,0.677,INCOMPLETA,0.611,llama3.3:70b,3
6,¿Cómo me apunto a desayunos solidarios?,"La actividad se realiza siempre los sábados. Si ese sábado hay actividad, el miércoles se publica por la comunidad de WhatsApp y por redes sociales un formulario para inscribirse.",0.719,INCOMPLETA,0.719,INCOMPLETA,0.998,CORRECTA,1.000,CORRECTA,0.859,llama3.3:70b,3
7,¿Si me apunto un día tengo que ir al resto de desayunos?,No. Los desayunos y cenas solidarios son lo que en DNI llamamos actividades puntuales: son voluntariados a los que te puedes apuntar un día sin la necesidad de que tengas que ir a las próximas actividades.,0.688,INCOMPLETA,0.649,INCOMPLETA,0.881,CORRECTA,0.831,CORRECTA,0.762,gemma2:27b,7
8,¿Puedo ir en el mismo grupo que mi amigo en desayunos?,"Claro. Ya en el propio formulario se te pregunta si vas a venir con algún amigo. Nosotros antes de la actividad hacemos un boceto de los grupos. En la actividad os dividimos por grupos pero no hay ningún problema si os queréis cambiar a otro, simplemente se menciona a un miembro del staff y no hay más problema.",0.739,INCOMPLETA,0.731,INCOMPLETA,0.993,CORRECTA,0.902,CORRECTA,0.841,gemma2:27b,7
9,¿Cómo se compra la comida para desayunos?,"De los desayunos solidarios se hace cargo la asociación, mientras que en las cenas solidarias contactamos con restaurantes que nos ceden la comida de forma gratuita.",0.700,INCOMPLETA,0.498,INCORRECTA,0.754,INCOMPLETA,0.604,INCOMPLETA,0.639,gemma2:27b,6
10,¿Qué se hace en la actividad de coles?,"En actividades de refuerzo escolar vamos a un colegio a ayudar a niños que viven realidades difíciles. Dependiendo de la edad el voluntariado es más de clases enfocadas al repaso de deberes o de conceptos, o a la lectura de cuentos, realización de manualidades, etc.",0.599,INCOMPLETA,0.786,INCOMPLETA,0.923,CORRECTA,0.421,INCORRECTA,0.682,gemma2:27b,5
